LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
C,96,C3388.3,,29,N,22,E,Africa,Libya,,Sirt Basin,Middle,Triassic,Anisian,,Coals,,lignite from Sirt Basin well L4-51,Thusu(1996)
C,97,C3389,,32,N,-7,W,Africa,Morocco,,Skoura region,L -M -U?,Triassic,,,Coals,,,Agard et al.(1965)
C,98,C3390,,-26,S,29,E,Africa,South Africa,,,L   -  M,Triassic,,"Beaufort has a mid-Permian to mid-Triassic age range(Schluter,Kobring,1997)",Coals,Beaufort,,Mackowsky(1968)
C,99,C3390.1,,-84.3,S,164.5,E ,Antarctica,,,,,,,,,,,
C,100,C3391,,14,N,104,E,Asia,Cambodia,,Khorat Basin,L   -  M,Triassic,,,Coals,,,Vysotsky et al.(1994)
C,101,C3392,,34,N,87,E,Asia,China,,Xizang:Konglushan,M  - U,Triassic,,,Coals,Kanglu,,"The Comprehensive Scientific Expedition Team to the Qinghai-Xizang Plateau, Academia Sinica(1984)"
C,102,C3393,,31,N,97,E,Asia,China,,Xizang:Changdu,M  - U,Triassic,,,Coals,Bagong,,"The Comprehensive Scientific Expedition Team to the Qinghai-Xizang Plateau, Academia Sinica(1984)"
C,103,C3394,,31,N,98,E,Asia,China,,Xizang:Jiangda,M  - U,Triassic,,,Coals,Bagong,,"The Comprehensive Scientific Expedition Team to the Qinghai-Xizang Plateau, Academia Sinica(1984)"
C,104,C3395,,41,N,45,E,Asia,C.I.S.(frm USSR),,"Cheliabinsk,Kazakhstan,Gissar,Armenia and the Primor'ye",L -M -U?,Triassic,,,Coals,,,Ovechkin(1959)
C,105,C3396,,45,N,134,E,Asia,C.I.S.(frm USSR),,Surazhev-Radchikhinskoye,L -M -U?,Triassic,,,Coals,,,Petroconsultants(1977)
C,106,C3397,,43,N,131,E,Asia,C.I.S.(frm USSR),,Primorye;Mongugay,L -M -U?,Triassic,,,Coals,,,Petroconsultants(1977)
C,107,C3398,,59,N,61,E,Asia,C.I.S.(frm USSR),,"Primorye;Elkino-Bulanash,Sverdlovsk",L -M -U?,Triassic,,,Coals,,,Petroconsultants(1977)
C,108,C3399,,55,N,62,E,Asia,C.I.S.(frm USSR),,"Chelyabinsk,Kulandy,Kazakhstan",M  - U,Triassic,,,Coals,,,Petroconsultants(1977)
C,109,C3400,,-33.5,S,151,E,Australia,,,New South Wales:Sydney area,L   -  M,Triassic,late Scythian-early Anisian,,Coals,Lower Newport and Bald Hill Claystone,,Retallack(1977)
C,110,C3400.1,,-29,S,152,E,Australia,,,New South Wales,Middle,Triassic,Anisian and Ladinian,,Coals,Nymboida Coal Measures,"see also Holmes(2000),Anisian Nymboida Coal Measures",ESCAP(1988)
C,111,C3401,,-42,S,147.5,E,Australia,,,Tasmania:,M  - U,Triassic,,,Coals,,,Collinson et al.(1987)
C,112,C3402,,-20,S,117,E,Australia,,,Western Australia:offshore Barrow-Dampier Subbasin,M  - U,Triassic,Ladinian though Carnian,Butcher(1990;see also Stein(1994)time range as Ladinian-Norian(Mungaroo Frm),Coals,Mungaroo,,Butcher(1990),see also Woodside Offshore Petroleum(1988);Barber(1988)
C,113,C3403,,72,N,25,E,Europe,Norway,,southern  Barents Sea off the Norwegian coast,M  - U,Triassic,"Anisian,Norian and Rhaetian",,Coals,,,"Ziegler(1988, Pl. 26)",
C,114,C3404,,71,N,20,E,Europe,Norway,,,L   -  M,Triassic,Scythian and Anisian,,Coals,,Troms 7120/12 well,"Jacobsen,van Veen(1984)",
C,115,C3405,,-44,S,170,E,Europe,New Zealand,,"South Island(Tank Gully,Long Gully,Benmore Dam)",Middle,Triassic,Ladinian,mid-Triassic,Coals,Torlesse Supergroup,,"Retallack(1979,1987;Retallack,Ryburn,1982)",
C,116,C3406,,-43,S,171,E,Europe,New Zealand,,Reefton area of South Island,M  - U,Triassic,,,Coals,,,"Mortimer,Smale(1996)",
B,117,B3406.1,,35,N,25,E,Europe,Greece,,,M  - U,Triassic,,,Bauxite,Cretan diasporite?,,"Jacobshagen(1986, p. 56)",
K,118,K3407,,31,N,35,E,Asia,Israel,,"Negev,Sinai",M  - U,Triassic,Anisian(Anisian to Carnian),,Kaolinite,Geranim(Saharonim),kaolinitic continental beds-evidence of very seasonal climate varying btwn dry arid and humid,Heller-Kallai et al.(1973),
K,119,K3408,,-32,S,149,E,Australia,,,New South Wales:Merrygoen area,L -M -U?,Triassic,,,Kaolinite,Wallingarah Creek,,Loughnan(1971b),
K,120,K3409,,-33.5,S,150,E,Australia,,,New South Wales:western part of the Sydney Basin,L -M -U?,Triassic,,,Kaolinite,Narrabeen Group,kaolinitic flint clays,Loughnan et al.(1974),
K,121,K3410,,-32.5,S,149.5,E,Australia,,,New South Wales,L   -  M,Triassic,,,Kaolinite,Wollar Sandstone and Wallingarah Frm ,,"Loughnan,Evans(1978)",
