LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Continent,Country,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso, 
CA,131,CA4707,46,N,-112.0,W,North America,United States,"Montana, southwestern Montana",Lower,Cretaceous,Aptian,,Calcretes,Kootenai,,DeCelles(1986),
CA,132,CA4708,32,N,-108.0,W,North America,United States,"New Mexico, southwestern New Mexico",Lower,Cretaceous,Aptian,,Calcretes,Hell-to-Finish,with kaolinite-rich beds above,Mack(1992),"see also Mack et al.,1986, Aptian Hell-to-Finish Formation"
CA,133,CA4709,30,N,-99.0,W,North America,United States,"Texas, central Texas",Lower,Cretaceous,,,Calcretes,,,Amsbury(1967),
CA,134,CA4710,30.75,N,-98.0,W,North America,United States,"Texas, central Texas",Lower,Cretaceous,Albian,,Calcretes,Hensel,,"Payne,Scott(1982)",
CA,135,CA4710.1,32,N,-98.5,W,North America,United States,"Texas, Proctor Lake",Lower,Cretaceous,Barremian-mid-Albian,,Calcretes,Trinity Group,,Cerling(1991),
CA,136,CA4711,33,N,-98.0,W,North America,United States,"Texas, Proctor County",Lower,Cretaceous,,,Calcretes,Twin Mountians,,"Winkler,Murry(1989)",
CA,137,CA4712,33,N,-95.0,W,North America,United States,"Texas, east Texas",Lower,Cretaceous,Valanginian to Aptian,,Calcretes,Peak,,Davies et al.(1993),
CA,138,CA4713,30.5,N,-103.5,W,North America,United States,Texas,Lower,Cretaceous,,,Calcretes,Bissett,,"Wilcox,Rohr(1996)",
CA,139,CA4714,39,N,-109.5,W,North America,United States,Utah,Lower,Cretaceous,,,Calcretes,Cedar Mountian,,"Chure et al.(1994, fig. 20.2)","Currie, 1998, cite upper part of the Cedar Mountian Formation of Hauterivian-Aptian age in NE Utah and NW Colorado;Kirkland et al., 1998, cite the Barremian Yellow Cat Member"
CA,140,CA4715,39.6,N,-112.0,W,North America,United States,Utah,Lower,Cretaceous,Aptian,,Calcretes,lower member of the Pigon Creek,,Schwarz(1988),
CA,141,CA4716,43,N,-111.0,W,North America,United States,Wyoming,Lower,Cretaceous,,,Calcretes,,,"Glass,Wilkinson(1980)",
CA,142,CA4716.1,20,N,173.0,E,North America,United States,"Pacific,Resolution Guyot, mid-Pacific Mountians",Lower,Cretaceous,,,Calcretes,,,"Glass,Wilkinson(1980)",
CA,143,CA4716.2,-48,S,-63.0,W,South America,Argentina,offshore San Julian Basin,Lower,Cretaceous,,,Calcretes,,,Figueiredo et al.(1996),
CA,144,CA4717,-22,S,-51.0,W,South America,Brazil,Sao Paulo ,Lower,Cretaceous,,,Calcretes,,,"Gayet,Brito(1989)",
CA,145,CA4718,-18,S,-38.0,W,South America,Brazil,Minas Gerais States,Lower,Cretaceous,,,Calcretes,,,"Gayet,Brito(1989)",
CA,146,CA4718.1,-12,S,-38.0,W,South America,Brazil,northeastern Brazil,Lower,Cretaceous,Berriasian,,Calcretes,,,"Garcia,Wilbert(1994)",
CA,147,CA4718.2,-19,S,-45.0,W,South America,Brazil,"Cruzeiro da Prata region, Minas Gerais",Lower,Cretaceous,,,Calcretes,,paleosoil and caliche,Mendonca et al.(2002),
CA,148,CA4719,-27,S,-70.0,W,South America,Chile,Atacama region of northern Chile,Lower,Cretaceous,,,Calcretes,,,"Suarez,Bell(1987)",
CA,149,CA4720,-27,S,-69.5,W,South America,Chile,,Lower,Cretaceous,,,Calcretes,,,"Bell,Padian(1995)",
CA,150,CA4721,21.3,N,-174.3,W,Pacific O.Basin,Resolution Guyot,central Pacific,Lower,Cretaceous,Aptian,,Calcretes,,,Sager et al.(1993),"(Albian, according to Jenkyns,Strasser,1995);presence of some kaolite(Baudin et al., 1995)"
D,151,D4722,65,N,163.0,E,Asia,C.I.S(frm USSR),Norh Siberian localities,Lower,Cretaceous,,,Dropstones,,interpreted as being derived frm melting sea ice,"Chumakov(in Hambrey and Harland,1981)",
D,152,D4723,-30,S,140.0,E,Australia,Queensland,and western New South Wales,Lower,Cretaceous,,,Dropstones,,widespread distrib. of dropstones and possibly diamictite,"David,Woolnough(1926)",
D,153,D4724,-18,S,138.0,E,Australia,Northern Territory,and Queensland,Lower,Cretaceous,Aptian-Albian?,,Dropstones,,,"Frakes,Krassay(1992)",
D,154,D4725,77.5,N,18.0,E,Europe,Svalbard,,Lower,Cretaceous,Aptian / Albian,,Dropstones,,interpreted as having been derived frm sea ice,"Pickton(in Hambrey and Harland,1981)",
