LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
CA,108,CA797,,52.5,N,-8,W,Europe,Ireland,,Slieve Bloom and Devilsbit Mountians,Lower,Carboniferous,Mississippian,Tournaisian,,Calcretes,,calcrete with Tournaisian spores,Feehan(1982),
CA,109,CA798,,54.5,N,-8,W,Europe,Ireland,,Lough Allen Basin,Lower,Carboniferous,Mississippian,probable Tournaisian age,,Calcretes,Kilcoo and Boyle Sandstones,,Philcox et al.(1992),
CA,110,CA799,,53,N,-2,W,United Kingdom,England,,Derbyshire,Lower,Carboniferous,Mississippian,,,Calcretes,Eyam Limestone,,Wright(1990),
CA,111,CA800,,56,N,-4,W,United Kingdom,Scotland,,Edinburgh and West Lothian areas,Lower,Carboniferous,Mississippian,,,Calcretes,Cementstone Group,,"Cameron,Stephenson(1985, p. 61)","see also Wright et al.,1993, under the Tournaisian Ballegan Formation"
CA,112,CA801,,53,N,-3,W,United Kingdom,Wales,,South Wales,L-M-U,Carboniferous,Mississippian,,,Calcretes,,,"Wright(1982,1989) and Searl(1989)",
CA,113,CA802,,48,N,-58,W,N. America,Canada,,"Newfoundland:Bay St. George Subbasin,southwestern Newfoundland",Middle,Carboniferous,Mississippian,Visean,,Calcretes,Codroy Group,,Knight(1983),
CA,114,CA803,,49,N,-57,W,N. America,Canada,,Newfoundland:Deer Lake Basin,Middle,Carboniferous,Mississippian,Visean,,Calcretes,,,"Gall,Hyde(1989)","see also Hyde,1979, and Hyde,1995,Shanadithit Formation,Red Indian lake region"
CA,115,CA804,,46,N,-62,W,N. America,Nova Scotia,,,Middle,Carboniferous,Mississippian,Visean,,Calcretes,Point Edward,,Gibling et al.(1987),
CA,116,CA805,,46,N,-61,W,N. America,Nova Scotia,,Cape Breton Island,Lower,Carboniferous,Mississippian,Tournaisian,,Calcretes,possible Horton Group(Strathlone fm),,Hamblin(1992),
CA,117,CA805.1,,47.5,N,-66,W,N. America,Quebec,,Perce and the Gaspe Bay areas,Middle,Carboniferous,Mississippian,Visean,,Calcretes,,,Jutras et al.(2001),
CA,118,CA805.2,,48.75,N,-64,W,N. America,Quebec,,Perce and the Gaspe Bay areas,Middle,Carboniferous,Mississippian,Visean,,Calcretes,,,Jutras et al.(2001),
CA,119,CA806,,39,N,-87,W,N. America,United States,,Indiana,Middle,Carboniferous,Mississippian,Meramec,,Calcretes,St. Genevieve,"""algal-mat laminations""  frm St. Genevieve Fm are really calcretes ","Abegg(written comm.,1990)points out that Carr's(1989, p.4) (see formation comments)",Hunter(1989) also has calcretes from same formation (see formation comments)
CA,120,CA807,,37,N,-101,W,N. America,United States,,Kansas:southwest corner of the State,Middle,Carboniferous,Mississippian,,,Calcretes,,,"Abegg(written comm.,1990)",
CA,121,CA808,,37,N,-83,W,N. America,United States,,Kentucky:northeastern Kentucky ,L - M,Carboniferous,Mississippian,Kinderhook and Meramec,,Calcretes,"Borden,Newman",,Walls et al.(1975),
CA,122,CA809,,39,N,-79,W,N. America,United States,,West Virginia,M - U,Carboniferous,Mississippian,Meramecian-Chesterian,,Calcretes,Greenbrier,,"Al-Tawil,Read(1993)",
CA,123,CA809.1,,37.5,N,-81,W,,,,West Virginia,,,,,,,,,,
T,124,T810,,19,N,8,E,Africa,Niger,,Air region,Lower,Carboniferous,Mississippian,Tournaisian,,Tillites,,glacial material,Lang(1987),
T,125,T811,,28,N,87,E,Asia,India,,southern Tibet,M - U,Carboniferous,Mississippian,Visean to Serpukhovian,,Tillites,Rakyang,diamictites,"Garznati, Sciunnach(1997)",see also Garzanti et al.(1998)
T,126,T812,,-32,S,-69,W,S. America,Argentina,,Precordillera,Middle,Carboniferous,Mississippian,Visean,,Tillites,,,"Gonzalez(1990,1993)",
T,127,T812.1,,-4.75,S,-66.25,W,S. America,Brazil,,eastern part of the Solimoes Basin of northern Brazil,Lower,Carboniferous,Mississippian,possible Tournaisian age,palynologically dated,Tillites,,glaciogenis diamictites,Melo et al.(1995),
G,128,G813,,51,N,-115,W,N. America,Canada,,west of Calgary,Middle,Carboniferous,Mississippian,Visean,,Glendonites,Mount Head,,"Brandley,Krause(1993a,b; 1994)",
C,129,C814,,36,N,1,E,Africa,Algeria,,western Atlas,Middle,Carboniferous,Mississippian,Visean,,Coals,,,Petroconsultants(1977),
C,130,C815,,30,N,33,E,Africa,Egypt,,Sinai,L-M-U,Carboniferous,Mississippian,,,Coals,,,"Feys,Fabre(1966; and references therein)",
C,131,C816,,17,N,8,E,Africa,Niger,,north of Agades,Middle,Carboniferous,Mississippian,Visean,,Coals,Anou Ararene deposit,,"LeFranc,Guiraud(1990)",see also Alpern(1978)
C,132,C817,,17,N,8,E,Africa,Niger,,30 km north of Agades,Middle,Carboniferous,Mississippian,Visean,"Feys,Fabre(1966)cite ""Carboniferous"";may be dep. Lefranc,Guiraud(1990) call Visean",Coals,,,"Feys,Fabre(1966)",
