LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
C,103,C1936,,42,N,126.5,E,Asia,China,,N.China:northeastern China-Hunjiang,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,104,C1937,,39.5,N,122,E,Asia,China,,N.China:northeastern China-Fuxian,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,105,C1938,,41,N,123,E,Asia,China,,N.China:northeastern China-Liaoyang,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,106,C1939,,37,N,118,E,Asia,China,,N.China:Shandong Province-Boshan,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,107,C1940,,35.5,N,117,E,Asia,China,,N.China:Shandong Province-Yanzhou,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,108,C1941,,35,N,117.5,E,Asia,China,,N.China:Shandong Province-Zhaozhuang,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,109,C1942,,35,N,117,E,Asia,China,,N.China:Shandong Province-Tengxian,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,110,C1943,,34,N,113,E,Asia,China,,N.China:Henan Province-Pingdingshan and Lushan,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,111,C1944,,35,N,113,E,Asia,China,,N.China:Henan Province-Yanshi-Gongxian,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,112,C1945,,34.5,N,112,E,Asia,China,,N.China:Henan Province-Yichuan,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,113,C1946,,34,N,113,E,Asia,China,,N.China:Henan Province-Yuxian,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,114,C1947,,35,N,113,E,Asia,China,,N.China:Henan Province-Jiaozhuo Coal Field,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Beijing Acad. Coal Sci.(1959),
C,115,C1948,,34,N,117,E,Asia,China,,N.China:Jiangsu Province-Xuzhou,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,116,C1949,,33,N,117,E,Asia,China,,N.China:Anhui Province-Huainan Coal Field,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Beijing Acad. Coal Sci.(1959),
C,117,C1950,,34,N,113,E,Asia,China,,N.China:Yiyuan and Luoyang Coal Fields,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Beijing Acad. Coal Sci.(1959),
C,118,C1951,,42,N,126,E,Asia,China,,N.China:Tonghua Coal Fields,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,"Dangang,Taiyuan",,Beijing Acad. Coal Sci.(1959),
C,119,C1952,,35,N,118,E,Asia,China,,"N.China:Xintai,Monyin and Laiwu Coal Fields",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Beijing Acad. Coal Sci.(1959),
C,120,C1953,,35,N,117,E,Asia,China,,N.China:Taozhuang and Zhaozhuang Coal Fields,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Beijing Acad. Coal Sci.(1959),
C,121,C1954,,40.5,N,95.7,E,Asia,China,,"N.China:Anxi,Gansu",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,The Gansu Regional Geological Survey Team(1987),
C,122,C1955,,37.1,N,104,E,Asia,China,,"N.China:Jingtai,Gansu",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Li et al.(1994),
C,123,C1956,,37.9,N,102.6,E,Asia,China,,"N.China:Wuwei,Gansu",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Li et al.(1994),
C,124,C1957,,38.8,N,101.1,E,Asia,China,,"N.China:Shandan,Gansu",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Li et al.(1994),
C,125,C1958,,39.7,N,98.4,E,Asia,China,,"N.China:Jiuquan,Gansu",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Li et al.(1994),
C,126,C1959,,38.9,N,100.4,E,Asia,China,,"N.China:Zhangye,Gansu",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Li et al.(1994),
