Times,Sea_level
100.8718815,116.7229488
100.6452473,117.7434356
100.4192454,118.9615575
100.1937548,120.3428681
99.96864373,121.8497855
99.74378393,123.4458388
99.51904926,125.0953448
99.29431471,126.7630936
99.06945529,128.4140361
98.84434487,130.0129748
98.61885638,131.5245469
98.3929595,132.9365016
98.16679266,134.2768159
97.94050886,135.5768728
97.71426002,136.8676866
97.48819836,138.180187
97.26247785,139.5455022
97.03725555,140.9952441
96.81269311,142.5617977
96.58895344,144.2778993
96.36603075,146.1511911
96.14370656,148.1578825
95.92175892,150.2744695
95.69997291,152.4795006
95.47813662,154.7531758
95.25603725,157.0768321
95.03346866,159.3942381
94.81024049,161.5586583
94.58614725,163.406065
94.36095838,164.7632206
94.13441296,165.4431712
93.90657658,165.3638644
93.67830104,164.6954056
93.45052786,163.6091648
93.22405623,162.2393368
92.99884108,160.6588907
92.77457165,158.9219414
92.55094919,157.0805786
92.32768332,155.1855458
92.10448825,153.2868944
91.88107911,151.4346292
91.65717413,149.6782804
91.43268038,148.0329397
91.2077322,146.4722218
90.98247029,144.9686051
90.75702996,143.4955482
90.53154346,142.0270348
90.30614224,140.5371266
90.08092753,139.0064249
89.85585001,137.4483397
89.63081599,135.8859867
89.40573241,134.3424229
89.18050547,132.8409741
88.95503933,131.4055696
88.72923473,130.0610848
88.50300377,128.8302783
88.27636162,127.7144649
88.04936357,126.7068227
87.82206112,125.8016825
87.59450246,124.9944954
87.36673298,124.2817826
87.13879575,123.6610977
86.91073204,123.131
86.68258028,122.6906083
86.4543629,122.3355046
86.2260926,122.0595197
85.99778139,121.8573349
85.76944079,121.7244583
85.54108202,121.6571746
85.31271608,121.6525036
85.08435389,121.7081667
84.85600614,121.8224432
84.62768041,121.9928428
84.39938232,122.2164712
84.17111769,122.4908735
83.94289266,122.814029
83.71471366,123.1843337
83.48658755,123.600587
83.25852163,124.0619808
83.0305237,124.5680932
82.80260193,125.1188286
82.57475853,125.7129143
82.34698887,126.3475956
82.11928818,127.0201364
81.89165184,127.7278963
81.66407541,128.4683232
81.43655458,129.2389474
81.20908519,130.0373751
80.98166322,130.8612823
80.75428475,131.7084093
80.52694598,132.5765548
80.29964321,133.4635703
80.07237283,134.3673548
79.84513131,135.2858495
79.61791519,136.2170326
79.39072108,137.1589143
79.16354564,138.1095315
78.93638591,139.0670529
78.70924588,140.0319879
78.48213625,141.0070923
78.2550681,141.9952526
78.02805268,142.9994089
77.80110145,144.0225676
77.57422614,145.0678133
77.34743881,146.1383221
77.12075187,147.2373741
76.89417812,148.3683675
76.66773088,149.5348323
76.44142395,150.7404449
76.21527172,151.9890432
75.98928902,153.284588
75.76347345,154.6264908
75.53779176,156.0060161
75.31220803,157.4137263
75.08668672,158.8402903
74.86119251,160.2764484
74.63569017,161.712977
74.41014448,163.1406537
74.18452001,164.5502229
73.95878107,165.9323607
73.73289151,167.2776394
73.50681464,168.5764922
73.28051303,169.8191769
73.05394842,170.9957393
72.82708286,172.0959669
72.59991467,173.1090147
72.37248189,174.022857
72.14482152,174.8242075
71.9169677,175.4983625
71.68895213,176.0290152
71.46080448,176.3980502
71.23255274,176.5853154
71.00421174,176.5867115
70.7757524,176.4531826
70.54722742,176.1935132
70.31871089,175.8077468
70.09027697,175.295393
69.86200016,174.6554255
69.63395561,173.8862779
69.40621948,172.9858365
69.17886921,171.9514322
68.95198389,170.7798283
68.72564457,169.4672077
68.49993462,168.009156
68.27494007,166.4006432
68.05074996,164.6360042
67.82739122,162.718931
67.60467821,160.6854776
67.38238569,158.5776042
67.16029212,156.4366161
66.9381777,154.3035276
66.71582247,152.2194225
66.49300433,150.2258152
66.26949713,148.3650163
66.04506863,146.6805044
65.81955694,145.2086237
65.59310505,143.9530902
65.36592007,142.9124971
65.13819572,142.0893656
64.91011586,141.4901909
64.68185783,141.1255611
64.4535863,141.0072389
64.22536923,141.1193417
63.99721888,141.4302444
63.76914753,141.9102378
63.54116831,142.5314392
63.31329534,143.2674909
63.08554391,144.0932758
62.85793059,144.9846461
62.63047289,145.9187193
62.40317751,146.8846918
62.1760405,147.8829805
61.94905815,148.9145781
61.72222743,149.9806237
61.49554597,151.0824076
61.26901205,152.2213767
